,categories,categoriescountsemicolon
944,business;education;newsandmedia,2
954,shopping;sports,1
970,informationtech;mediasharing,1
1004,illegalcontent,0
1009,shopping;weapons,1
1076,education;games,1
1087,mediasharing;shopping,1
1089,sports;travel,1
1131,business;education;games,2
1147,informationtech;newsandmedia,1
1168,business;games;informationtech,2
1258,adult;shopping,1
1301,business;drugs;education,2
1302,drugs;education,1
1329,business;entertainment;travel,2
1350,business;newsandmedia;sports,2
1374,adult;business;shopping,2
1392,education;entertainment;mediasharing,2
1393,proxyandfilteravoidance,0
1409,illegalcontent;informationtech;mediasharing,2
1420,entertainment;informationtech;shopping,2
1465,streamingmedia,0
1482,adult;entertainment;travel,2
1483,adult;streamingmedia,1
1485,education;travel,1
1502,informationtech;messageboardsandforums,1
1505,business;vehicles,1
1511,messageboardsandforums,0
1526,business;mediasharing;socialnetworking,2
1527,business;education;mediasharing,2
1613,alcoholandtobacco;business,1
1638,illegalcontent;informationtech,1
1639,entertainment;informationtech;streamingmedia,2
1658,business;entertainment;vehicles,2
1720,education;messageboardsandforums,1
1772,entertainment;newsandmedia;sports,2
1793,business;sports,1
1876,advertising;business;informationtech,2
1982,adult;entertainment;shopping,2
2012,blogsandpersonal,0
2052,entertainment;newsandmedia;streamingmedia,2
2134,newsandmedia;sports,1
2154,economyandfinance;shopping,1
2455,health,0
2673,business;informationtech;newsandmedia,2
2676,business;education;jobrelated,2
2716,business;entertainment;streamingmedia,2
2727,economyandfinance;education,1
2786,business;education;travel,2
2818,contentserver;economyandfinance,1
2820,games;shopping,1
2886,alcoholandtobacco,0
3044,entertainment;games;newsandmedia,2
3174,advertising;business;games,2
3190,adult;business,1
3244,economyandfinance;informationtech,1
3304,education;entertainment;messageboardsandforums,2
3428,education;shopping;travel,2
3450,blogsandpersonal;business;informationtech,2
3502,education;religion,1
3543,entertainment;games;shopping,2
3652,contentserver;streamingmedia,1
3711,advertising,0
3857,entertainment;informationtech;newsandmedia,2
3957,adult;entertainment;messageboardsandforums,2
4020,adult;education,1
4085,blogsandpersonal;business;entertainment,2
4135,economyandfinance;entertainment,1
4197,jobrelated,0
4295,business;personals,1
4421,informationtech;newsandmedia;shopping,2
4425,adult;travel,1
4455,chatandmessaging;streamingmedia,1
4456,entertainment;illegalcontent;informationtech,2
4540,shopping;travel,1
4562,entertainment;games;informationtech,2
4602,business;messageboardsandforums,1
4606,education;games;informationtech,2
4678,business;realestate;travel,2
4685,business;education;messageboardsandforums,2
4689,business;education;foodandrecipes,2
4724,business;foodandrecipes;shopping,2
4734,entertainment;games;streamingmedia,2
4742,blogsandpersonal;education;entertainment,2
5134,business;entertainment;mediasharing,2
5192,adult;blogsandpersonal;entertainment,2
5264,education;foodandrecipes;health,2
5474,newsandmedia;shopping,1
5512,alcoholandtobacco;shopping,1
5542,blogsandpersonal;religion,1
5592,economyandfinance;gambling,1
5692,blogsandpersonal;education;messageboardsandforums,2
5770,entertainment;weapons,1
6061,adult;business;entertainment,2
