Categories,year,total,flesch_kincaid_Mean,flesch_kincaid_Min,flesch_kincaid_Max,smog_Mean,smog_Min,smog_Max,length_Mean,length_Min,length_Max,ChildCount
,2000,6,12.49460472,10.7440069,13.77003252,,,,3328.5,1141,4708,0
,2001,13,12.7457705,11.15027466,14.29023166,14.51264248,13.34837121,15.98806761,6440.615385,1141,22871,3
,2002,26,12.42668773,10.20503203,15.87084498,14.69164225,13.0238668,17.19993928,5330.807692,1141,13701,6
,2003,60,12.33013091,8.603672525,16.43280597,14.86800339,11.85546408,18.27955013,6797.683333,700,32769,15
,2004,93,12.58905261,8.90468178,17.36906276,15.37585888,11.85546408,18.27955013,6506.956989,700,32769,37
,2005,63,12.82061568,9.188385193,15.68629272,15.3528111,13.50681897,17.23854248,6922.873016,542,42548,22
,2006,141,12.87357766,6.384386447,16.65274736,15.12969988,12.5161,18.24360595,6872.70922,502,42568,58
,2007,337,13.1248225,6.384386447,17.85910686,15.32200363,11.72989834,18.59929004,7323.195846,477,42568,157
,2008,677,13.11800644,6.384386447,18.09049832,15.47669675,11.72989834,19.04980404,7043.763663,447,33807,315
,2009,1126,13.09797293,6.384386447,20.17887224,15.29182431,9.642632912,19.04980404,6481.472469,496,39945,480
,2010,1913,13.01349,6.384386447,20.25191281,15.35835331,9.642632912,19.8171,6194.94093,496,33807,750
,2011,3105,12.85722761,6.384386447,20.7094682,15.37418605,9.888512548,19.75178468,6892.284058,493,49344,998
,2012,2681,12.90910993,6.312373052,24.19715116,15.29979449,10.50422373,21.64051364,6628.239463,482,57881,843
,2013,2424,13.04945283,6.643684564,26.33425778,15.33574194,8.648137235,19.75178468,6602.811056,307,51471,809
,2014,2392,12.95221881,6.643684564,26.33425778,15.19693579,6.079149491,21.69918705,6507.408445,288,53214,645
,2015,2193,13.23287785,6.643684564,27.12233666,15.50794836,9.558583805,19.75178468,6288.28591,288,70656,634
,2016,2476,13.03948454,7.521580033,27.12233666,15.42029699,10.4301,19.75178468,6256.199515,482,129997,427
,2017,1221,13.09278774,8.169294806,17.42453704,15.1420138,10.4301,19.4546323,5842.017199,828,163767,180
,2018,540,13.22032222,5.615038504,17.09447669,15.46721088,11.20814326,18.98132757,10621.63333,1707,63676,179
,2019,232,13.63982059,8.614981761,17.07746741,15.35584778,10.72225461,19.08393206,11723.72845,625,74094,111
adult,1998,1,14.1305291,14.1305291,14.1305291,,,,3620,3620,3620,0
adult,1999,1,11.16741313,11.16741313,11.16741313,,,,1778,1778,1778,0
adult,2000,15,12.03287816,9.911920904,15.18106044,13.89396937,11.20814326,16.23940671,3849.533333,855,10130,2
adult,2001,20,11.32016548,8.187044052,13.11138889,14.14280469,12.5738667,14.69652958,3771.8,855,10129,3
adult,2002,27,11.74104029,9.224156618,14.73041584,14.38599031,11.85546408,17.61891908,5039.814815,855,13704,7
adult,2003,62,12.17553623,6.60042735,15.64389587,14.49624985,11.34169021,17.61891908,3914.096774,521,13724,18
adult,2004,163,12.72573623,5.169090909,20.05862355,15.0460768,11.85546408,18.35118386,3960.822086,320,22635,45
adult,2005,249,13.21673024,6.252517761,20.05862355,15.59603648,12.34062658,18.42248207,4426.096386,498,22635,57
adult,2006,321,13.2773336,6.252517761,17.91961853,15.79720711,11.20814326,18.98132757,4494.084112,336,29400,90
adult,2007,482,13.17960149,6.252517761,17.95262081,15.5321348,11.79290869,18.87805463,4543.983402,356,34560,115
adult,2008,692,13.5439809,7.22,18.3404216,15.76073348,11.79290869,19.42128082,5689.549133,356,34579,192
adult,2009,712,13.5890171,5.672547116,19.42908983,15.55645982,8.648137235,19.42128082,5586.991573,185,34344,195
adult,2010,1032,13.70586637,5.672547116,19.42908983,15.6243826,8.648137235,19.38786093,6399.863372,185,34485,314
adult,2011,1368,13.54408099,5.672547116,19.42908983,15.60757739,8.648137235,19.38786093,6747.924708,185,34497,431
adult,2012,1730,13.78623483,5.672547116,18.79549268,15.69482644,8.648137235,19.38786093,6898.486705,185,34497,481
adult,2013,2046,13.91295532,5.672547116,18.79549268,15.72738909,8.648137235,19.71903059,7007.881232,185,48054,655
adult,2014,2078,13.97489773,5.672547116,18.77548353,15.82695161,8.648137235,19.71903059,7025.497594,185,48054,727
adult,2015,2244,13.94322919,5.672547116,22.71614286,15.77280354,8.648137235,19.71903059,7366.893048,185,48060,839
adult,2016,2318,13.7935462,5.672547116,22.51622222,15.67348948,8.648137235,19.71903059,8482.159189,185,51000,900
adult,2017,2330,13.55823373,5.672547116,22.51622222,15.63622118,8.648137235,21.69918705,10129.23262,502,210553,905
adult,2018,1673,13.41199078,7.22,18.56811463,15.61610945,10.65027996,19.71903059,12166.47938,185,109201,677
adult,2019,1682,13.36284648,5.672547116,18.10629355,15.64753387,8.648137235,18.8434795,13974.48633,185,109764,671
adult;advertising;business,2017,1,14.45407343,14.45407343,14.45407343,18.35118386,18.35118386,18.35118386,42130,42130,42130,1
adult;advertising;business,2018,2,14.91456771,14.45407343,15.37506199,18.02249311,17.69380237,18.35118386,38061,33992,42130,2
adult;advertising;business,2019,1,15.36642337,15.36642337,15.36642337,17.65640897,17.65640897,17.65640897,33985,33985,33985,1
adult;blogsandpersonal,2007,1,13.34924091,13.34924091,13.34924091,14.83674596,14.83674596,14.83674596,15632,15632,15632,1
adult;blogsandpersonal,2011,1,10.62006743,10.62006743,10.62006743,12.74508487,12.74508487,12.74508487,8506,8506,8506,0
adult;blogsandpersonal,2012,2,10.62006743,10.62006743,10.62006743,12.74508487,12.74508487,12.74508487,8506,8506,8506,0
adult;blogsandpersonal,2013,3,12.38692388,10.71503215,15.73070733,13.61591474,12.91330727,15.02112968,12767.33333,8481,21340,0
adult;blogsandpersonal,2014,4,12.16166252,10.71503215,13.6082929,14.05800258,12.91330727,15.20269789,17231,8481,25981,0
adult;blogsandpersonal,2015,2,11.2603407,11.2603407,11.2603407,14.31402892,14.31402892,14.31402892,12433,12433,12433,0
adult;blogsandpersonal,2016,4,11.98233608,11.2603407,13.62288477,14.3651233,13.76565471,15.06678064,13852,4368,26174,0
adult;blogsandpersonal,2017,4,12.80969777,11.78577816,13.83361737,14.70537735,13.76565471,15.6451,15636,4368,26904,0
adult;blogsandpersonal,2018,7,11.38176925,11.22016568,11.78577816,13.76565471,13.76565471,13.76565471,2197.285714,1329,4368,0
adult;blogsandpersonal,2019,4,11.22016568,11.22016568,11.22016568,,,,1329,1329,1329,0
adult;blogsandpersonal;entertainment,2009,2,14.04019806,12.86039612,15.22,,,,1603,1073,2133,0
adult;blogsandpersonal;entertainment,2010,4,13.36145036,12.50500917,15.22,,,,1870.5,1073,2143,0
adult;blogsandpersonal;entertainment,2011,3,13.41000612,12.50500917,15.22,,,,1786.333333,1073,2143,0
adult;blogsandpersonal;entertainment,2012,3,13.41000612,12.50500917,15.22,,,,1786.333333,1073,2143,0
adult;blogsandpersonal;entertainment,2013,3,12.38388577,12.14163895,12.50500917,,,,2284,2143,2566,0
adult;blogsandpersonal;entertainment,2014,3,12.26276236,12.14163895,12.50500917,,,,2425,2143,2566,0
adult;blogsandpersonal;entertainment,2015,4,13.77166203,12.14163895,15.22,,,,1713.75,1073,2566,0
adult;blogsandpersonal;entertainment,2016,1,15.22,15.22,15.22,,,,1073,1073,1073,0
adult;blogsandpersonal;entertainment,2017,3,15.45472636,15.22,15.92417908,18.20757608,18.20757608,18.20757608,3370.666667,1073,7966,0
adult;blogsandpersonal;entertainment,2018,3,15.45472636,15.22,15.92417908,18.20757608,18.20757608,18.20757608,3370.666667,1073,7966,0
adult;blogsandpersonal;entertainment,2019,1,15.22,15.22,15.22,,,,1073,1073,1073,0
adult;business,2001,3,13.34431201,12.31233667,15.14999047,14.45898005,14.45898005,14.45898005,4494,2143,8576,0
adult;business,2002,8,13.2454093,10.80268116,15.14999047,14.45898005,14.45898005,14.45898005,3777.75,1075,8576,0
adult;business,2003,11,12.69873113,9.89039489,15.14999047,14.14159302,13.50681897,14.45898005,4843.909091,1985,17662,1
adult;business,2004,30,12.84473843,10.69096317,16.9988094,15.23450718,14.45898005,17.54364678,3861.9,523,8970,6
adult;business,2005,36,13.40250898,9.097017544,16.99012135,15.38898716,12.63128222,17.61891908,3730.305556,521,10936,9
adult;business,2006,53,12.53089002,8.610114943,16.30758696,14.49740924,10.86419502,17.61891908,3733.886792,493,17822,13
adult;business,2007,57,12.74395639,8.610114943,16.30229586,14.4751479,10.86419502,17.61891908,4591.824561,493,17822,12
adult;business,2008,70,12.67769457,8.610114943,16.25446742,14.68914405,10.86419502,18.35118386,5230.014286,493,18241,14
adult;business,2009,60,12.63791399,8.610114943,16.25446742,14.56000839,10.86419502,18.31540923,6194.35,670,18273,20
adult;business,2010,89,12.7638689,8.610114943,17.23521796,14.5014454,10.86419502,18.31540923,6027.775281,670,17478,26
adult;business,2011,113,12.45470612,8.610114943,16.46407148,14.52161472,10.86419502,17.65640897,6666.787611,670,17298,39
adult;business,2012,103,12.51981802,8.610114943,16.46407148,14.44616467,10.86419502,17.65640897,6374.203883,670,17686,23
adult;business,2013,130,12.85172139,9.033457485,17.91965973,14.92517178,12.04049591,19.71903059,7322.130769,673,22523,42
adult;business,2014,147,13.07970794,8.887637681,18.56811463,15.14330842,12.04049591,19.71903059,6952.537415,274,20253,49
adult;business,2015,168,13.21357395,8.152358277,18.66727536,15.19861434,10.04757931,19.71903059,7065.285714,274,29827,52
adult;business,2016,147,13.11961737,8.152358277,18.56811463,14.8864086,10.04757931,19.71903059,7059.07483,539,33783,41
adult;business,2017,133,13.16675568,8.152358277,16.71569617,15.0730746,10.04757931,19.04980404,7647.947368,868,41015,37
adult;business,2018,99,12.99707087,5.854041642,18.66727536,14.94105955,9.12067884,19.04980404,10066.30303,868,42416,28
adult;business,2019,91,12.79115109,8.297259852,16.519411,14.65269472,11.53803483,17.87934746,9191.604396,868,42117,27
adult;business;chatandmessaging,2015,2,12.17743024,12.17743024,12.17743024,14.74345646,14.74345646,14.74345646,10872,10872,10872,2
adult;business;chatandmessaging,2016,2,12.17743024,12.17743024,12.17743024,14.74345646,14.74345646,14.74345646,10872,10872,10872,2
adult;business;education,2015,1,13.63416534,13.63416534,13.63416534,,,,2621,2621,2621,0
adult;business;entertainment,2004,2,10.93196172,10.93196172,10.93196172,,,,1432,1432,1432,0
adult;business;entertainment,2005,3,12.13965981,10.33702722,15.14999047,12.74508487,12.74508487,12.74508487,3209,1432,6052,0
adult;business;entertainment,2006,6,10.82802277,8.086031746,14.16426332,12.2374916,11.72989834,12.74508487,4080,1482,6536,2
adult;business;entertainment,2007,7,11.43911775,8.38,14.41029568,13.97389138,12.74508487,15.20269789,3202.857143,1427,6061,1
adult;business;entertainment,2008,10,12.13089338,8.38,15.59173376,14.90841437,12.2217632,16.60763045,3228.6,1427,6286,2
adult;business;entertainment,2009,6,11.92568501,8.38,14.41029568,15.6451,15.6451,15.6451,2718.5,1232,4299,2
adult;business;entertainment,2010,13,12.01799262,8.38,16.83070657,14.0244571,12.2217632,16.07238961,3713.692308,1232,6487,3
adult;business;entertainment,2011,17,13.08568716,9.368119747,16.83070657,15.0223418,12.2217632,16.44523258,4875.235294,1071,12293,6
adult;business;entertainment,2012,16,12.67298391,9.368119747,14.98085308,14.989311,12.2217632,16.44523258,5240.25,1071,12293,6
adult;business;entertainment,2013,19,12.93455132,9.368119747,14.98085308,15.08022792,12.2217632,17.39191049,6890.315789,1071,16572,9
adult;business;entertainment,2014,26,13.27823199,9.368119747,14.98085308,15.60587275,12.2217632,17.39191049,7420.692308,981,16572,13
adult;business;entertainment,2015,34,13.3159611,9.368119747,17.2143625,15.39442481,12.2217632,17.39191049,7714.588235,981,16576,20
adult;business;entertainment,2016,40,13.30443914,9.368119747,17.2143625,15.01255027,12.2217632,17.35372351,8217.05,981,28879,22
adult;business;entertainment,2017,43,13.5876365,10.26395655,17.2143625,15.47541679,12.28138786,18.20757608,9591.790698,981,40999,25
adult;business;entertainment,2018,38,13.17679018,10.26395655,17.11248024,15.04211224,12.5161,18.20757608,10101,886,22889,19
adult;business;entertainment,2019,26,13.73475972,10.50373854,17.11248024,15.64155127,12.5161,18.73929462,11866.5,2112,22889,15
adult;business;informationtech,2005,2,12.06242059,12.06242059,12.06242059,,,,1704,1704,1704,0
adult;business;informationtech,2006,1,12.06242059,12.06242059,12.06242059,,,,1704,1704,1704,0
adult;business;informationtech,2007,2,12.06242059,12.06242059,12.06242059,,,,1704,1704,1704,0
adult;business;informationtech,2008,4,11.16964539,9.952843963,12.67553922,12.51592115,12.4579756,12.5738667,3667,1704,5550,0
adult;business;informationtech,2009,4,11.31523195,9.954924685,12.67553922,12.5161,12.5161,12.5161,3694,1906,5482,0
adult;business;informationtech,2010,4,11.32348706,9.971434908,12.67553922,12.5161,12.5161,12.5161,3691,1906,5476,0
adult;business;informationtech,2011,2,11.32348706,9.971434908,12.67553922,12.5161,12.5161,12.5161,3690.5,1905,5476,0
adult;business;informationtech,2012,2,12.67553922,12.67553922,12.67553922,,,,1905,1905,1905,0
adult;business;informationtech,2013,3,13.008878,12.67553922,13.67555556,,,,2447.333333,1905,3532,0
adult;business;informationtech,2014,1,12.67553922,12.67553922,12.67553922,,,,1905,1905,1905,0
adult;business;informationtech,2015,2,12.67553922,12.67553922,12.67553922,,,,1905,1905,1905,0
adult;business;informationtech,2016,2,11.92198251,11.1684258,12.67553922,13.24136018,13.24136018,13.24136018,5540.5,1905,9176,0
adult;business;informationtech,2017,2,12.67553922,12.67553922,12.67553922,,,,1905,1905,1905,0
adult;business;informationtech,2018,2,12.67553922,12.67553922,12.67553922,,,,1905,1905,1905,0
adult;business;informationtech,2019,4,11.8757948,11.07605039,12.67553922,13.40145869,13.40145869,13.40145869,3856.5,1905,5808,2
adult;business;shopping,2007,1,13.78932508,13.78932508,13.78932508,,,,911,911,911,0
adult;business;shopping,2008,2,13.78932508,13.78932508,13.78932508,,,,911,911,911,0
adult;business;shopping,2009,1,13.78932508,13.78932508,13.78932508,,,,911,911,911,0
adult;business;shopping,2010,2,13.78932508,13.78932508,13.78932508,,,,911,911,911,0
adult;business;shopping,2011,2,13.78932508,13.78932508,13.78932508,,,,911,911,911,0
adult;business;shopping,2012,5,13.54456853,11.62857804,14.25780721,15.42588865,15.42588865,15.42588865,4337.4,911,8278,0
adult;business;shopping,2013,7,12.5337409,9.898407058,14.25780721,14.50832485,13.45427322,15.42588865,6452.428571,911,10803,2
adult;business;shopping,2014,11,12.8173213,9.898407058,15.59658915,15.16012923,13.45427322,17.39191049,9437.272727,911,20134,4
adult;business;shopping,2015,15,12.11587038,8.68827451,15.67340868,14.8900701,11.66642294,17.4299955,8081.133333,911,20134,6
adult;business;shopping,2016,20,11.64644849,8.68827451,15.28393907,14.21332918,11.66642294,18.17145992,7931.25,911,20134,12
adult;business;shopping,2017,11,11.30781018,8.68827451,15.27741253,14.04270693,12.28138786,18.17145992,7177.181818,1389,16009,6
adult;business;shopping,2018,4,9.320192502,8.136646465,10.50373854,12.5161,12.5161,12.5161,3667.5,1652,5683,2
adult;business;shopping,2019,5,10.72751258,8.731631505,13.02669699,13.4142184,12.5161,14.50688674,11935,1458,35734,4
adult;business;streamingmedia,2004,1,17.15671968,17.15671968,17.15671968,18.31540923,18.31540923,18.31540923,16377,16377,16377,1
adult;business;streamingmedia,2005,2,17.15671968,17.15671968,17.15671968,18.31540923,18.31540923,18.31540923,16377,16377,16377,2
adult;business;streamingmedia,2006,2,17.15671968,17.15671968,17.15671968,18.31540923,18.31540923,18.31540923,16377,16377,16377,2
adult;business;streamingmedia,2007,2,17.15671968,17.15671968,17.15671968,18.31540923,18.31540923,18.31540923,16377,16377,16377,2
adult;business;streamingmedia,2008,1,17.15671968,17.15671968,17.15671968,18.31540923,18.31540923,18.31540923,16377,16377,16377,1
adult;business;streamingmedia,2009,2,17.15671968,17.15671968,17.15671968,18.31540923,18.31540923,18.31540923,16377,16377,16377,2
adult;business;streamingmedia,2010,2,17.15671968,17.15671968,17.15671968,18.31540923,18.31540923,18.31540923,16377,16377,16377,2
adult;business;streamingmedia,2011,3,14.65128557,9.640417357,17.15671968,16.45863444,12.74508487,18.31540923,13262.33333,7033,16377,2
adult;business;streamingmedia,2012,5,14.20650963,10.05120653,17.15671968,16.35698439,13.2950065,18.56409048,11081.2,7508,16377,2
adult;business;streamingmedia,2013,4,14.94433994,10.10042447,17.15671968,16.9857022,13.2950065,18.56409048,9910.25,7508,16377,1
adult;business;streamingmedia,2014,4,13.00451966,10.10042447,15.91370984,15.53165455,13.2950065,17.76830261,7878.5,7563,8195,0
adult;business;streamingmedia,2015,4,13.16089724,10.12503344,16.43235332,15.70669007,13.34837121,18.0989662,8906.5,7564,12158,0
adult;business;streamingmedia,2016,3,14.32953636,10.12390244,16.43235332,16.55073521,13.45427322,18.0989662,10680.33333,7725,12158,0
adult;business;streamingmedia,2017,2,13.27812788,10.12390244,16.43235332,15.77661971,13.45427322,18.0989662,9942.5,7727,12158,0
adult;business;streamingmedia,2018,2,16.32436939,16.21638546,16.43235332,18.0989662,18.0989662,18.0989662,12130,12102,12158,0
adult;chatandmessaging,2012,2,12.91075023,12.89529438,12.92620607,14.50688674,14.50688674,14.50688674,17372.5,17350,17395,2
adult;chatandmessaging,2013,1,12.92620607,12.92620607,12.92620607,14.50688674,14.50688674,14.50688674,17395,17395,17395,1
adult;chatandmessaging,2014,2,12.92620607,12.92620607,12.92620607,14.50688674,14.50688674,14.50688674,17395,17395,17395,2
adult;chatandmessaging,2015,2,12.92620607,12.92620607,12.92620607,14.50688674,14.50688674,14.50688674,17395,17395,17395,2
adult;chatandmessaging,2016,1,12.92620607,12.92620607,12.92620607,14.50688674,14.50688674,14.50688674,17395,17395,17395,1
adult;chatandmessaging,2017,2,12.92620607,12.92620607,12.92620607,14.50688674,14.50688674,14.50688674,17395,17395,17395,2
adult;chatandmessaging,2018,2,12.92620607,12.92620607,12.92620607,14.50688674,14.50688674,14.50688674,17395,17395,17395,2
adult;chatandmessaging,2019,1,12.35090749,12.35090749,12.35090749,15.20269789,15.20269789,15.20269789,23145,23145,23145,1
adult;chatandmessaging;streamingmedia,2000,1,11.11311951,11.11311951,11.11311951,13.91797589,13.91797589,13.91797589,6107,6107,6107,1
adult;chatandmessaging;streamingmedia,2001,1,9.565396825,9.565396825,9.565396825,,,,4189,4189,4189,1
adult;chatandmessaging;streamingmedia,2002,2,9.642036415,9.602857143,9.681215686,,,,4130.5,4074,4187,2
adult;chatandmessaging;streamingmedia,2003,1,9.602857143,9.602857143,9.602857143,,,,4187,4187,4187,1
adult;chatandmessaging;streamingmedia,2004,3,12.93802162,9.602857143,19.60835059,,,,4322,4187,4592,2
adult;chatandmessaging;streamingmedia,2005,4,14.60560386,9.602857143,19.60835059,,,,4389.5,4187,4592,2
adult;chatandmessaging;streamingmedia,2006,4,14.60560386,9.602857143,19.60835059,,,,4389.5,4187,4592,2
adult;chatandmessaging;streamingmedia,2007,8,15.62198404,9.602857143,19.60835059,16.07238961,16.07238961,16.07238961,5654,4187,9291,4
adult;chatandmessaging;streamingmedia,2008,5,14.41815866,9.602857143,19.60835059,16.07238961,16.07238961,16.07238961,5360.6,4187,9291,3
adult;chatandmessaging;streamingmedia,2009,5,15.57083392,9.602857143,19.60835059,16.65546604,16.07238961,17.23854248,7239.4,4187,13581,3
adult;chatandmessaging;streamingmedia,2010,10,15.20504206,12.64197615,19.60835059,15.99635543,14.6021,17.23854248,8503.6,4546,13581,8
adult;chatandmessaging;streamingmedia,2011,9,14.40803197,12.64197615,15.36623343,16.16816918,14.6021,17.23854248,9832.666667,5887,13581,9
adult;chatandmessaging;streamingmedia,2012,6,13.24272793,11.02349294,14.38297412,15.48427377,14.6021,16.07238961,6784,1206,9242,5
adult;chatandmessaging;streamingmedia,2013,7,13.88554613,12.64197615,14.38297412,15.65230687,14.6021,16.07238961,8282.714286,5887,9241,7
adult;chatandmessaging;streamingmedia,2014,5,14.03477453,12.64197615,14.38297412,15.77833169,14.6021,16.07238961,8570.2,5887,9241,5
adult;chatandmessaging;streamingmedia,2015,10,13.40075395,11.21287125,14.38297412,15.70481721,14.6021,16.07238961,6989.6,1338,9241,8
adult;chatandmessaging;streamingmedia,2016,10,13.40075395,11.21287125,14.38297412,15.70481721,14.6021,16.07238961,6989.6,1338,9241,8
adult;chatandmessaging;streamingmedia,2017,9,13.5421683,11.21287125,14.38297412,16.01134824,15.6451,16.07238961,7182.444444,1338,9241,7
adult;chatandmessaging;streamingmedia,2018,8,13.43456885,12.53674208,14.38297412,15.33375921,14.41086994,16.07238961,8338,5649,9241,6
adult;chatandmessaging;streamingmedia,2019,5,13.06492402,12.53674208,13.45587387,15.01988116,14.41086994,15.42588865,7800,5649,9238,3
adult;education,2006,1,10.1670989,10.1670989,10.1670989,13.40145869,13.40145869,13.40145869,5410,5410,5410,0
adult;education,2007,1,10.1670989,10.1670989,10.1670989,13.40145869,13.40145869,13.40145869,5410,5410,5410,0
adult;education,2008,1,10.1670989,10.1670989,10.1670989,13.40145869,13.40145869,13.40145869,5410,5410,5410,0
adult;education,2009,2,10.1670989,10.1670989,10.1670989,13.40145869,13.40145869,13.40145869,5410,5410,5410,0
adult;education,2010,1,10.1670989,10.1670989,10.1670989,13.40145869,13.40145869,13.40145869,5410,5410,5410,0
adult;education,2014,3,13.69993034,13.63416534,13.73281285,,,,3089.666667,2621,3324,0
adult;education,2015,2,13.8240101,13.8240101,13.8240101,,,,3291,3291,3291,0
adult;education,2016,2,13.64964787,13.47528563,13.8240101,,,,3579.5,3291,3868,0
adult;education,2017,2,13.47528563,13.47528563,13.47528563,,,,3868,3868,3868,0
adult;education,2018,2,12.85043757,12.81840278,12.88247237,,,,4422.5,4419,4426,0
adult;education,2019,1,13.6840053,13.6840053,13.6840053,,,,4067,4067,4067,0
adult;education;messageboardsandforums,2004,2,9.758737113,9.758737113,9.758737113,,,,1361.5,1357,1366,0
adult;education;messageboardsandforums,2008,1,14.32466362,14.32466362,14.32466362,,,,5546,5546,5546,1
adult;education;messageboardsandforums,2009,2,14.32466362,14.32466362,14.32466362,,,,5546,5546,5546,2
adult;education;messageboardsandforums,2010,2,14.12562793,13.92659224,14.32466362,,,,5440.5,5335,5546,2
adult;education;messageboardsandforums,2011,2,14.01368589,14.01368589,14.01368589,,,,5363,5363,5363,2
adult;education;messageboardsandforums,2012,2,14.01368589,14.01368589,14.01368589,,,,5363,5363,5363,2
adult;education;messageboardsandforums,2013,2,14.01368589,14.01368589,14.01368589,,,,5363,5363,5363,2
adult;education;messageboardsandforums,2014,2,13.9826588,13.9516317,14.01368589,,,,5415,5363,5467,2
adult;education;messageboardsandforums,2015,1,13.9516317,13.9516317,13.9516317,,,,5467,5467,5467,1
adult;education;messageboardsandforums,2016,2,13.94384642,13.93606113,13.9516317,,,,5474,5467,5481,2
adult;education;messageboardsandforums,2017,2,13.93606113,13.93606113,13.93606113,,,,5481,5481,5481,2
adult;education;messageboardsandforums,2018,2,13.93606113,13.93606113,13.93606113,,,,5481,5481,5481,2
adult;education;messageboardsandforums,2019,2,13.93606113,13.93606113,13.93606113,,,,5481,5481,5481,2
adult;entertainment,1999,1,10.9776878,10.9776878,10.9776878,12.91330727,12.91330727,12.91330727,4046,4046,4046,0
adult;entertainment,2000,6,11.76409474,10.17135897,14.60280689,13.45427322,13.45427322,13.45427322,3218.833333,1419,4020,2
adult;entertainment,2001,4,12.53576311,10.17135897,14.60280689,13.45427322,13.45427322,13.45427322,2789.75,1419,4020,1
adult;entertainment,2002,11,12.44321036,10.17135897,17.33731137,13.29373889,13.13320456,13.45427322,2699.363636,903,4022,3
adult;entertainment,2003,22,12.98378827,10.27714286,17.33731137,15.51959976,13.13320456,18.73929462,4246.909091,413,13876,10
adult;entertainment,2004,48,12.52858657,10.17135897,16.57260944,15.31738472,12.85755635,18.73929462,5372.333333,413,22635,20
adult;entertainment,2005,67,12.59562317,9.566320346,16.50296134,15.32131238,13.13320456,18.70441146,5561.477612,557,22635,26
adult;entertainment,2006,90,12.5736619,9.369743447,16.76108924,15.19847235,12.4579756,18.27955013,5082.022222,336,21197,35
adult;entertainment,2007,118,12.75434246,8.122394366,16.76108924,15.57700842,12.4579756,18.70441146,4736.211864,356,16109,42
adult;entertainment,2008,154,12.81040678,8.122394366,17.23521796,15.51668018,12.28138786,18.70441146,5020.175325,356,19817,49
adult;entertainment,2009,153,12.99071823,8.122394366,19.07604528,15.34384259,12.4579756,19.3543722,5418.477124,502,25947,43
adult;entertainment,2010,228,13.2150451,8.122394366,19.07604528,15.23028717,12.10132525,18.70441146,5439.337719,502,29451,60
adult;entertainment,2011,293,13.23719699,8.298173614,19.07604528,15.39111697,12.28138786,18.70441146,5801.733788,508,29451,92
adult;entertainment,2012,355,13.28625971,8.054823848,17.8263397,15.43124522,10.65027996,18.70441146,5821.132394,508,29451,114
adult;entertainment,2013,414,13.40157578,7.792182057,22.33493019,15.44595081,12.28138786,19.71903059,6014.256039,523,29451,139
adult;entertainment,2014,463,13.58473624,8.054823848,22.33493019,15.68763296,12.28138786,19.71903059,5973.399568,523,25712,167
adult;entertainment,2015,511,13.71176387,8.054823848,22.47844653,15.78319424,12.28138786,19.71903059,6054.980431,523,30108,197
adult;entertainment,2016,543,13.34258926,8.054823848,22.47844653,15.31138768,12.28138786,19.71903059,6539.13628,523,41091,179
adult;entertainment,2017,586,13.20490446,6.88504779,22.74545455,15.13175359,12.28138786,19.78447436,7204.807167,523,41091,213
adult;entertainment,2018,466,12.98240813,6.128412698,22.47844653,14.92071264,9.12067884,19.78447436,8244.751073,529,33969,197
adult;entertainment,2019,432,12.93391998,6.88504779,22.47844653,14.98207578,10.50422373,19.78447436,10167.6088,523,55104,183
adult;entertainment;games,2007,3,15.16760152,15.00558508,15.49163438,16.19575753,16.0302975,16.52667758,7091.666667,7020,7235,0
adult;entertainment;games,2008,5,15.04077745,15.00558508,15.1815469,16.20168098,16.0302975,16.88721491,7018,7010,7020,0
adult;entertainment;games,2009,3,15.06423902,15.00558508,15.1815469,16.31593664,16.0302975,16.88721491,7016.666667,7010,7020,0
adult;entertainment;games,2010,5,14.60209604,12.98813988,15.00558508,15.94455119,15.60156596,16.0302975,7019.6,7018,7020,0
adult;entertainment;games,2011,5,14.60209604,12.98813988,15.00558508,15.94455119,15.60156596,16.0302975,7019.6,7018,7020,0
adult;entertainment;games,2012,3,14.36683583,12.98813988,15.10678254,15.95709006,15.60156596,16.23940671,7033,7018,7061,0
adult;entertainment;games,2013,2,15.01747614,14.92816974,15.10678254,16.50375075,16.23940671,16.76809479,7004,6947,7061,0
adult;entertainment;games,2014,1,14.9299724,14.9299724,14.9299724,16.76809479,16.76809479,16.76809479,6956,6956,6956,0
adult;entertainment;games,2015,3,14.98890911,14.9299724,15.10678254,16.59186543,16.23940671,16.76809479,6991,6956,7061,0
adult;entertainment;games,2016,4,14.97417493,14.9299724,15.10678254,16.63592277,16.23940671,16.76809479,6982.25,6956,7061,0
adult;entertainment;games,2017,4,14.9299724,14.9299724,14.9299724,16.76809479,16.76809479,16.76809479,6956,6956,6956,0
adult;entertainment;games,2018,3,13.4161875,13.4161875,13.4161875,15.68848315,15.68848315,15.68848315,7748.333333,7743,7751,0
adult;entertainment;games,2019,5,13.4161875,13.4161875,13.4161875,15.68848315,15.68848315,15.68848315,7749.4,7743,7751,0
adult;entertainment;informationtech,2008,2,16.65317407,16.65317407,16.65317407,18.80882812,18.80882812,18.80882812,14633,14633,14633,2
adult;entertainment;informationtech,2009,2,16.65317407,16.65317407,16.65317407,18.80882812,18.80882812,18.80882812,14633,14633,14633,2
adult;entertainment;informationtech,2010,1,16.65317407,16.65317407,16.65317407,18.80882812,18.80882812,18.80882812,14607,14607,14607,1
