year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,1,0.0,1577.0,9.473396825,0.0,False,business;jobrelated - business;jobrelated;shopping - 
2000,13,0.6153846153846154,3683.0,11.670377476923077,4.3730643169230765,False,business;jobrelated - business;jobrelated;shopping - 
2001,28,1.1785714285714286,6290.071428571428,12.788234935714284,8.54299049642857,False,business;jobrelated - business;jobrelated;shopping - 
2002,50,0.96,7241.54,12.054227330000002,11.12668036,False,business;jobrelated - business;jobrelated;shopping - 
2003,61,1.2950819672131149,7083.311475409836,12.35871032786885,9.257018855737705,False,business;jobrelated - business;jobrelated;shopping - 
2004,96,3.3541666666666665,6883.90625,11.4981901875,9.816725700000001,False,business;jobrelated - business;jobrelated;shopping - 
2005,105,3.3142857142857145,7494.238095238095,11.960410152380952,10.236157495238094,False,business;jobrelated - business;jobrelated;shopping - 
2006,148,3.1283783783783785,7836.209459459459,12.408724777027027,11.084545175675675,False,business;jobrelated - business;jobrelated;shopping - 
2007,160,1.9375,8006.9875,12.83475330775,11.716314380562498,False,business;jobrelated - business;jobrelated;shopping - 
2008,202,2.6881188118811883,8028.6287128712875,12.78601335648515,12.155051667227724,False,business;jobrelated - business;jobrelated;shopping - 
2009,223,2.57847533632287,7756.52466367713,12.653075096412557,11.607691927757847,False,business;jobrelated - business;jobrelated;shopping - 
2010,279,2.888888888888889,8521.878136200718,12.689966935519715,11.32510659060932,False,business;jobrelated - business;jobrelated;shopping - 
2011,348,2.663793103448276,8565.46264367816,12.685704941091954,11.471088416350575,False,business;jobrelated - business;jobrelated;shopping - 
2012,438,2.7739726027397262,9605.235159817352,12.81859252625571,11.768368734908675,False,business;jobrelated - business;jobrelated;shopping - 
2013,481,2.893970893970894,10253.779625779625,12.941521442848234,11.57720425941788,False,business;jobrelated - business;jobrelated;shopping - 
2014,459,2.0435729847494555,9929.46623093682,12.998916659041395,11.226571988867104,False,business;jobrelated - business;jobrelated;shopping - 
2015,520,2.1903846153846156,10716.742307692308,13.06879763271154,11.491220032269231,False,business;jobrelated - business;jobrelated;shopping - 
2016,513,1.9473684210526316,10707.666666666666,12.824279251481482,11.127126510292397,False,business;jobrelated - business;jobrelated;shopping - 
2017,457,2.549234135667396,12285.442013129103,12.986138737417942,12.171138737417943,False,business;jobrelated - business;jobrelated;shopping - 
2018,292,2.4657534246575343,14744.965753424658,13.310933761986304,12.49662531469178,False,business;jobrelated - business;jobrelated;shopping - 
2019,316,3.3702531645569622,17233.943037974685,12.966184648734178,12.688888424050633,False,business;jobrelated - business;jobrelated;shopping - 
