year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2011,1,1.0,16286.0,14.52554491,15.24766489
2012,2,1.0,16286.0,14.52554491,15.24766489
2013,2,1.0,16603.5,13.75195772,15.380851844999999
2014,4,0.75,11049.0,13.28119284,7.7570194
2015,5,0.6,13495.4,13.515728696,16.625558406
2016,4,0.5,12244.5,14.0799568,17.08348895
2017,4,0.5,12244.5,14.0799568,17.08348895
2018,5,0.6,16810.6,14.460330891999998,17.251418482000002
2019,3,0.3333333333333333,8445.666667,13.962946530000002,16.72815622
