year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2004,2,1.0,2767.5,13.67572462,
2005,1,1.0,2992.0,13.67938967,
2006,1,1.0,3109.0,13.66136364,
2007,1,1.0,3027.0,13.66136364,
2009,1,1.0,3030.0,13.66136364,
2010,1,1.0,3081.0,13.42115945,
2013,1,0.0,2804.0,10.88943448,
2014,3,0.0,2075.333333,10.88943448,
2015,4,0.0,1711.0,10.88943448,
2016,4,0.0,1711.0,10.88943448,
2017,5,0.0,3567.6,12.31926804,17.23854248
2018,4,0.0,4379.75,12.28903297,17.1224134
2019,2,0.5,6461.5,12.76674788,16.48601716
