year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2000,8,6.75,5577.375,11.67195341375,8.211989465,False,business;education;sports - education;sports - 
2001,15,5.2,4963.466666666666,11.528631164666667,7.247356455333333,False,business;education;sports - education;sports - 
2002,19,3.3684210526315788,5076.684210526316,11.77385272105263,8.394664335789473,False,business;education;sports - education;sports - 
2003,25,2.56,5279.72,11.965516888,8.632336228,False,business;education;sports - education;sports - 
2004,38,3.473684210526316,6652.894736842105,12.048515676315791,10.504351310526317,False,business;education;sports - education;sports - 
2005,36,5.111111111111111,8929.138888888889,12.269163544444444,11.548434622222223,False,business;education;sports - education;sports - 
2006,34,5.294117647058823,7665.176470588235,12.025433752941176,10.202209026470587,False,business;education;sports - education;sports - 
2007,40,4.225,6758.75,12.09098392,9.372592885,False,business;education;sports - education;sports - 
2008,50,5.42,7523.44,12.746837900000001,10.489012396,False,business;education;sports - education;sports - 
2009,57,5.7894736842105265,8368.947368421053,12.855342566666666,10.99198545263158,False,business;education;sports - education;sports - 
2010,76,5.052631578947368,7774.144736842105,12.984504251315792,9.903405835526318,False,business;education;sports - education;sports - 
2011,81,5.197530864197531,8265.160493827161,13.103361996296295,10.73292280617284,False,business;education;sports - education;sports - 
2012,92,5.858695652173913,9230.815217391304,13.27165796521739,11.18946434673913,False,business;education;sports - education;sports - 
2013,98,5.673469387755102,9515.612244897959,13.285609886734694,11.635365635714287,False,business;education;sports - education;sports - 
2014,98,6.459183673469388,9927.632653061224,13.510622235714285,11.71612570510204,False,business;education;sports - education;sports - 
2015,113,6.8053097345132745,10711.46017699115,13.576280708849557,12.02178978318584,False,business;education;sports - education;sports - 
2016,126,6.492063492063492,11453.420634920634,13.624609303174601,11.952899207936508,False,business;education;sports - education;sports - 
2017,115,7.4,12323.48695652174,13.610836664347826,12.429945546956521,False,business;education;sports - education;sports - 
2018,115,6.373913043478261,12900.55652173913,13.333205458260869,12.753937032173916,False,business;education;sports - education;sports - 
2019,101,9.198019801980198,15200.574257425742,13.129825100000001,13.102482120792079,False,business;education;sports - education;sports - 
