year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
0.6666666666666666,3,0.6666666666666666,3256.666667,12.30384678,
0.5,2,0.5,3722.0,12.85460779,
0.25,4,0.25,3044.75,12.626875300000002,
0.25,4,0.25,3531.0,11.95759438,14.50688674
0.42857142857142855,7,0.42857142857142855,4780.0,12.63505982,14.67830105
0.5,12,0.5,5592.416667,12.28293667,14.43457993
0.4166666666666667,12,0.4166666666666667,5965.166667,12.14018467,14.61054594
0.46153846153846156,13,0.46153846153846156,6414.615385,12.075892999999999,14.38730551
0.6,15,0.6,7379.0,12.28488956,14.6602316
0.6666666666666666,21,0.6666666666666666,8451.857143000001,12.70928382,14.74118214
0.6521739130434783,23,0.6521739130434783,8509.173912999999,12.68434079,14.56206249
0.5862068965517241,29,0.5862068965517241,8259.586206999998,12.5518846,14.56519158
0.5806451612903226,31,0.5806451612903226,8120.741934999999,12.39283224,14.56959448
0.6,25,0.6,8466.88,12.405941499999999,14.32300222
0.6,10,0.6,11158.0,12.92872702,14.6381737
0.7333333333333333,15,0.7333333333333333,26330.33333,13.40838092,15.19007792
