year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,2,5.5,3634.5,13.15696783,0.0,False,adult;entertainment;games - blogsandpersonal;entertainment;games - business;entertainment;games - deceptive;entertainment;games - education;entertainment;games - education;entertainment;games;shopping - entertainment;games - entertainment;games;informationtech - entertainment;games;mediasharing - entertainment;games;newsandmedia - entertainment;games;shopping - entertainment;games;sports - entertainment;games;streamingmedia - 
2000,16,6.5,4892.3125,11.360301050999999,8.21372489375,False,adult;entertainment;games - blogsandpersonal;entertainment;games - business;entertainment;games - deceptive;entertainment;games - education;entertainment;games - education;entertainment;games;shopping - entertainment;games - entertainment;games;informationtech - entertainment;games;mediasharing - entertainment;games;newsandmedia - entertainment;games;shopping - entertainment;games;sports - entertainment;games;streamingmedia - 
2001,34,6.382352941176471,4187.588235294118,11.191862277941176,5.1086156144117645,False,adult;entertainment;games - blogsandpersonal;entertainment;games - business;entertainment;games - deceptive;entertainment;games - education;entertainment;games - education;entertainment;games;shopping - entertainment;games - entertainment;games;informationtech - entertainment;games;mediasharing - entertainment;games;newsandmedia - entertainment;games;shopping - entertainment;games;sports - entertainment;games;streamingmedia - 
2002,62,6.564516129032258,5211.145161290323,11.675631114032258,6.0800016796774194,False,adult;entertainment;games - blogsandpersonal;entertainment;games - business;entertainment;games - deceptive;entertainment;games - education;entertainment;games - education;entertainment;games;shopping - entertainment;games - entertainment;games;informationtech - entertainment;games;mediasharing - entertainment;games;newsandmedia - entertainment;games;shopping - entertainment;games;sports - entertainment;games;streamingmedia - 
2003,67,5.3283582089552235,4967.820895522388,11.37616863850746,6.030590662089552,False,adult;entertainment;games - blogsandpersonal;entertainment;games - business;entertainment;games - deceptive;entertainment;games - education;entertainment;games - education;entertainment;games;shopping - entertainment;games - entertainment;games;informationtech - entertainment;games;mediasharing - entertainment;games;newsandmedia - entertainment;games;shopping - entertainment;games;sports - entertainment;games;streamingmedia - 
2004,87,4.689655172413793,5553.735632183908,11.493553703908047,5.971161316206896,False,adult;entertainment;games - blogsandpersonal;entertainment;games - business;entertainment;games - deceptive;entertainment;games - education;entertainment;games - education;entertainment;games;shopping - entertainment;games - entertainment;games;informationtech - entertainment;games;mediasharing - entertainment;games;newsandmedia - entertainment;games;shopping - entertainment;games;sports - entertainment;games;streamingmedia - 
2005,102,6.578431372549019,6908.264705882353,11.877580127843135,7.600592217549021,False,adult;entertainment;games - blogsandpersonal;entertainment;games - business;entertainment;games - deceptive;entertainment;games - education;entertainment;games - education;entertainment;games;shopping - entertainment;games - entertainment;games;informationtech - entertainment;games;mediasharing - entertainment;games;newsandmedia - entertainment;games;shopping - entertainment;games;sports - entertainment;games;streamingmedia - 
2006,136,7.522058823529412,7501.27205882353,12.040370222279412,8.161746096911765,False,adult;entertainment;games - blogsandpersonal;entertainment;games - business;entertainment;games - deceptive;entertainment;games - education;entertainment;games - education;entertainment;games;shopping - entertainment;games - entertainment;games;informationtech - entertainment;games;mediasharing - entertainment;games;newsandmedia - entertainment;games;shopping - entertainment;games;sports - entertainment;games;streamingmedia - 
2007,193,6.321243523316062,7769.854922279793,12.554287283367875,9.043841937512953,False,adult;entertainment;games - blogsandpersonal;entertainment;games - business;entertainment;games - deceptive;entertainment;games - education;entertainment;games - education;entertainment;games;shopping - entertainment;games - entertainment;games;informationtech - entertainment;games;mediasharing - entertainment;games;newsandmedia - entertainment;games;shopping - entertainment;games;sports - entertainment;games;streamingmedia - 
2008,251,6.52191235059761,7263.470119521912,12.356194843788845,8.571879686414345,False,adult;entertainment;games - blogsandpersonal;entertainment;games - business;entertainment;games - deceptive;entertainment;games - education;entertainment;games - education;entertainment;games;shopping - entertainment;games - entertainment;games;informationtech - entertainment;games;mediasharing - entertainment;games;newsandmedia - entertainment;games;shopping - entertainment;games;sports - entertainment;games;streamingmedia - 
