year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,1,0.0,1628.0,10.21693182,0.0,False,alcoholandtobacco - alcoholandtobacco;blogsandpersonal;entertainment - alcoholandtobacco;business - alcoholandtobacco;business;education - alcoholandtobacco;business;entertainment - alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;business;shopping - alcoholandtobacco;business;travel - alcoholandtobacco;drugs;education - alcoholandtobacco;drugs;shopping - alcoholandtobacco;education - alcoholandtobacco;education;personals - alcoholandtobacco;education;shopping - alcoholandtobacco;education;travel - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - alcoholandtobacco;personals - alcoholandtobacco;shopping - 
2000,7,0.0,3205.5714285714284,10.689888174285715,5.658966541428571,False,alcoholandtobacco - alcoholandtobacco;blogsandpersonal;entertainment - alcoholandtobacco;business - alcoholandtobacco;business;education - alcoholandtobacco;business;entertainment - alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;business;shopping - alcoholandtobacco;business;travel - alcoholandtobacco;drugs;education - alcoholandtobacco;drugs;shopping - alcoholandtobacco;education - alcoholandtobacco;education;personals - alcoholandtobacco;education;shopping - alcoholandtobacco;education;travel - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - alcoholandtobacco;personals - alcoholandtobacco;shopping - 
2001,15,0.7333333333333333,3890.9333333333334,11.086764542666666,5.552766926,False,alcoholandtobacco - alcoholandtobacco;blogsandpersonal;entertainment - alcoholandtobacco;business - alcoholandtobacco;business;education - alcoholandtobacco;business;entertainment - alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;business;shopping - alcoholandtobacco;business;travel - alcoholandtobacco;drugs;education - alcoholandtobacco;drugs;shopping - alcoholandtobacco;education - alcoholandtobacco;education;personals - alcoholandtobacco;education;shopping - alcoholandtobacco;education;travel - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - alcoholandtobacco;personals - alcoholandtobacco;shopping - 
2002,28,0.5714285714285714,4159.857142857143,11.1728689075,6.7001725046428575,False,alcoholandtobacco - alcoholandtobacco;blogsandpersonal;entertainment - alcoholandtobacco;business - alcoholandtobacco;business;education - alcoholandtobacco;business;entertainment - alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;business;shopping - alcoholandtobacco;business;travel - alcoholandtobacco;drugs;education - alcoholandtobacco;drugs;shopping - alcoholandtobacco;education - alcoholandtobacco;education;personals - alcoholandtobacco;education;shopping - alcoholandtobacco;education;travel - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - alcoholandtobacco;personals - alcoholandtobacco;shopping - 
2003,30,0.5333333333333333,3803.0,11.523421891666667,5.347145280333334,False,alcoholandtobacco - alcoholandtobacco;blogsandpersonal;entertainment - alcoholandtobacco;business - alcoholandtobacco;business;education - alcoholandtobacco;business;entertainment - alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;business;shopping - alcoholandtobacco;business;travel - alcoholandtobacco;drugs;education - alcoholandtobacco;drugs;shopping - alcoholandtobacco;education - alcoholandtobacco;education;personals - alcoholandtobacco;education;shopping - alcoholandtobacco;education;travel - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - alcoholandtobacco;personals - alcoholandtobacco;shopping - 
2004,33,0.5757575757575758,4760.606060606061,11.576662443636364,5.726349845151515,False,alcoholandtobacco - alcoholandtobacco;blogsandpersonal;entertainment - alcoholandtobacco;business - alcoholandtobacco;business;education - alcoholandtobacco;business;entertainment - alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;business;shopping - alcoholandtobacco;business;travel - alcoholandtobacco;drugs;education - alcoholandtobacco;drugs;shopping - alcoholandtobacco;education - alcoholandtobacco;education;personals - alcoholandtobacco;education;shopping - alcoholandtobacco;education;travel - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - alcoholandtobacco;personals - alcoholandtobacco;shopping - 
2005,42,0.7619047619047619,5180.738095238095,11.379492571428571,6.585102653333332,False,alcoholandtobacco - alcoholandtobacco;blogsandpersonal;entertainment - alcoholandtobacco;business - alcoholandtobacco;business;education - alcoholandtobacco;business;entertainment - alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;business;shopping - alcoholandtobacco;business;travel - alcoholandtobacco;drugs;education - alcoholandtobacco;drugs;shopping - alcoholandtobacco;education - alcoholandtobacco;education;personals - alcoholandtobacco;education;shopping - alcoholandtobacco;education;travel - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - alcoholandtobacco;personals - alcoholandtobacco;shopping - 
2006,52,0.9807692307692307,4812.807692307692,11.136237977307692,6.397157401730768,False,alcoholandtobacco - alcoholandtobacco;blogsandpersonal;entertainment - alcoholandtobacco;business - alcoholandtobacco;business;education - alcoholandtobacco;business;entertainment - alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;business;shopping - alcoholandtobacco;business;travel - alcoholandtobacco;drugs;education - alcoholandtobacco;drugs;shopping - alcoholandtobacco;education - alcoholandtobacco;education;personals - alcoholandtobacco;education;shopping - alcoholandtobacco;education;travel - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - alcoholandtobacco;personals - alcoholandtobacco;shopping - 
2007,60,1.15,4730.616666666667,11.336758670333332,6.455954003833333,False,alcoholandtobacco - alcoholandtobacco;blogsandpersonal;entertainment - alcoholandtobacco;business - alcoholandtobacco;business;education - alcoholandtobacco;business;entertainment - alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;business;shopping - alcoholandtobacco;business;travel - alcoholandtobacco;drugs;education - alcoholandtobacco;drugs;shopping - alcoholandtobacco;education - alcoholandtobacco;education;personals - alcoholandtobacco;education;shopping - alcoholandtobacco;education;travel - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - alcoholandtobacco;personals - alcoholandtobacco;shopping - 
2008,74,1.5405405405405406,5811.283783783784,11.813142147027026,8.760347841486485,False,alcoholandtobacco - alcoholandtobacco;blogsandpersonal;entertainment - alcoholandtobacco;business - alcoholandtobacco;business;education - alcoholandtobacco;business;entertainment - alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;business;shopping - alcoholandtobacco;business;travel - alcoholandtobacco;drugs;education - alcoholandtobacco;drugs;shopping - alcoholandtobacco;education - alcoholandtobacco;education;personals - alcoholandtobacco;education;shopping - alcoholandtobacco;education;travel - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - alcoholandtobacco;personals - alcoholandtobacco;shopping - 
