year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
1.0,1,1.0,6585.0,16.2317176,17.54364678
1.0,2,1.0,6675.0,15.85836901,16.28056946
0.25,8,0.25,2444.375,14.52888824,16.36328637
0.0,7,0.0,6124.857143,13.65294546,15.49157085
0.0,2,0.0,16782.0,13.54594244,14.60634311
0.3333333333333333,3,0.3333333333333333,12418.0,12.48138762,14.81460039
0.5,4,0.5,18091.0,14.21163784,14.99761174
0.3333333333333333,6,0.3333333333333333,18087.66667,13.99287967,14.6294332
0.2857142857142857,7,0.2857142857142857,13212.85714,14.06181204,15.11480318
0.6666666666666666,6,0.6666666666666666,16548.16667,14.14373205,15.9471835
0.7142857142857143,7,0.7142857142857143,17949.85714,14.56920028,15.73974993
