year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2011,2,0.0,6761.0,10.972419665,14.16717447,True,chatandmessaging;socialnetworking
2012,2,0.0,6735.0,10.931592745,14.117786865,True,chatandmessaging;socialnetworking
2013,1,0.0,6733.0,10.93159274,14.11778686,True,chatandmessaging;socialnetworking
2018,1,5.0,26970.0,13.02549011,13.96827395,True,chatandmessaging;socialnetworking
2019,2,5.0,26970.0,13.02549011,13.968273955,True,chatandmessaging;socialnetworking
