year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2000,7,7.857142857142857,7272.571428571428,11.752008828571428,11.983995165714285,False,adult;business;chatandmessaging - adult;chatandmessaging - adult;chatandmessaging;streamingmedia - blogsandpersonal;chatandmessaging - business;chatandmessaging - business;chatandmessaging;informationtech - business;chatandmessaging;streamingmedia - chatandmessaging - chatandmessaging;entertainment;newsandmedia - chatandmessaging;informationtech - chatandmessaging;mediasharing - chatandmessaging;messageboardsandforums - chatandmessaging;socialnetworking - chatandmessaging;streamingmedia - 
2001,9,5.444444444444445,5186.0,8.49048641611111,4.410712928888889,False,adult;business;chatandmessaging - adult;chatandmessaging - adult;chatandmessaging;streamingmedia - blogsandpersonal;chatandmessaging - business;chatandmessaging - business;chatandmessaging;informationtech - business;chatandmessaging;streamingmedia - chatandmessaging - chatandmessaging;entertainment;newsandmedia - chatandmessaging;informationtech - chatandmessaging;mediasharing - chatandmessaging;messageboardsandforums - chatandmessaging;socialnetworking - chatandmessaging;streamingmedia - 
2002,15,10.866666666666667,10686.866666666667,9.050178655333333,5.443887144666666,False,adult;business;chatandmessaging - adult;chatandmessaging - adult;chatandmessaging;streamingmedia - blogsandpersonal;chatandmessaging - business;chatandmessaging - business;chatandmessaging;informationtech - business;chatandmessaging;streamingmedia - chatandmessaging - chatandmessaging;entertainment;newsandmedia - chatandmessaging;informationtech - chatandmessaging;mediasharing - chatandmessaging;messageboardsandforums - chatandmessaging;socialnetworking - chatandmessaging;streamingmedia - 
2003,11,6.090909090909091,5362.818181818182,8.779194366636363,4.763798183636363,False,adult;business;chatandmessaging - adult;chatandmessaging - adult;chatandmessaging;streamingmedia - blogsandpersonal;chatandmessaging - business;chatandmessaging - business;chatandmessaging;informationtech - business;chatandmessaging;streamingmedia - chatandmessaging - chatandmessaging;entertainment;newsandmedia - chatandmessaging;informationtech - chatandmessaging;mediasharing - chatandmessaging;messageboardsandforums - chatandmessaging;socialnetworking - chatandmessaging;streamingmedia - 
2004,17,6.411764705882353,7119.058823529412,10.473204821764705,6.474355593529412,False,adult;business;chatandmessaging - adult;chatandmessaging - adult;chatandmessaging;streamingmedia - blogsandpersonal;chatandmessaging - business;chatandmessaging - business;chatandmessaging;informationtech - business;chatandmessaging;streamingmedia - chatandmessaging - chatandmessaging;entertainment;newsandmedia - chatandmessaging;informationtech - chatandmessaging;mediasharing - chatandmessaging;messageboardsandforums - chatandmessaging;socialnetworking - chatandmessaging;streamingmedia - 
2005,16,7.5625,7075.0625,10.01507164,4.294145701875,False,adult;business;chatandmessaging - adult;chatandmessaging - adult;chatandmessaging;streamingmedia - blogsandpersonal;chatandmessaging - business;chatandmessaging - business;chatandmessaging;informationtech - business;chatandmessaging;streamingmedia - chatandmessaging - chatandmessaging;entertainment;newsandmedia - chatandmessaging;informationtech - chatandmessaging;mediasharing - chatandmessaging;messageboardsandforums - chatandmessaging;socialnetworking - chatandmessaging;streamingmedia - 
2006,25,5.04,6867.04,11.130144339200001,5.205234175999999,False,adult;business;chatandmessaging - adult;chatandmessaging - adult;chatandmessaging;streamingmedia - blogsandpersonal;chatandmessaging - business;chatandmessaging - business;chatandmessaging;informationtech - business;chatandmessaging;streamingmedia - chatandmessaging - chatandmessaging;entertainment;newsandmedia - chatandmessaging;informationtech - chatandmessaging;mediasharing - chatandmessaging;messageboardsandforums - chatandmessaging;socialnetworking - chatandmessaging;streamingmedia - 
2007,38,3.8947368421052633,7966.421052631579,12.900427180000001,8.255256664210526,False,adult;business;chatandmessaging - adult;chatandmessaging - adult;chatandmessaging;streamingmedia - blogsandpersonal;chatandmessaging - business;chatandmessaging - business;chatandmessaging;informationtech - business;chatandmessaging;streamingmedia - chatandmessaging - chatandmessaging;entertainment;newsandmedia - chatandmessaging;informationtech - chatandmessaging;mediasharing - chatandmessaging;messageboardsandforums - chatandmessaging;socialnetworking - chatandmessaging;streamingmedia - 
2008,41,5.121951219512195,8811.243902439024,11.404217498536585,8.331982838292681,False,adult;business;chatandmessaging - adult;chatandmessaging - adult;chatandmessaging;streamingmedia - blogsandpersonal;chatandmessaging - business;chatandmessaging - business;chatandmessaging;informationtech - business;chatandmessaging;streamingmedia - chatandmessaging - chatandmessaging;entertainment;newsandmedia - chatandmessaging;informationtech - chatandmessaging;mediasharing - chatandmessaging;messageboardsandforums - chatandmessaging;socialnetworking - chatandmessaging;streamingmedia - 
2009,46,3.652173913043478,9145.391304347826,12.738968479130435,9.55932362,False,adult;business;chatandmessaging - adult;chatandmessaging - adult;chatandmessaging;streamingmedia - blogsandpersonal;chatandmessaging - business;chatandmessaging - business;chatandmessaging;informationtech - business;chatandmessaging;streamingmedia - chatandmessaging - chatandmessaging;entertainment;newsandmedia - chatandmessaging;informationtech - chatandmessaging;mediasharing - chatandmessaging;messageboardsandforums - chatandmessaging;socialnetworking - chatandmessaging;streamingmedia - 
2010,54,4.722222222222222,9837.074074074075,13.505577617592595,12.29945453259259,False,adult;business;chatandmessaging - adult;chatandmessaging - adult;chatandmessaging;streamingmedia - blogsandpersonal;chatandmessaging - business;chatandmessaging - business;chatandmessaging;informationtech - business;chatandmessaging;streamingmedia - chatandmessaging - chatandmessaging;entertainment;newsandmedia - chatandmessaging;informationtech - chatandmessaging;mediasharing - chatandmessaging;messageboardsandforums - chatandmessaging;socialnetworking - chatandmessaging;streamingmedia - 
