year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
0.0,1,0.0,3055.0,10.72292823,
0.0,3,0.0,3737.666667,9.678028944,11.60247206
0.0,4,0.0,3694.5,11.30021789,13.86445357
0.3333333333333333,3,0.3333333333333333,4286.333333,12.51729696,14.11778686
0.6,5,0.6,1937.0,10.67770793,
0.6,5,0.6,1973.4,10.81349764,
0.4,5,0.4,1426.8,10.96351185,
0.0,8,0.0,3057.25,11.23371636,13.3323897
0.0,17,0.0,3720.058824,11.51859519,13.43066281
0.0,15,0.0,4189.533332999999,11.73697197,13.41590044
0.05,20,0.05,5121.3,11.87579499,13.66918739
0.20689655172413793,29,0.20689655172413793,4645.310345,12.2684569,13.85746566
0.175,40,0.175,4907.325,12.10463632,14.13420307
0.28846153846153844,52,0.28846153846153844,6184.884615,12.29776926,14.53334116
0.3469387755102041,49,0.3469387755102041,6485.897959000001,12.22095744,14.66794339
0.425531914893617,47,0.425531914893617,6375.851064,12.47219134,14.74381441
0.43137254901960786,51,0.43137254901960786,7201.882353,12.68457919,14.85203118
0.45098039215686275,51,0.45098039215686275,8116.627451,12.87615165,14.83412882
0.4583333333333333,48,0.4583333333333333,8426.854167,12.9991922,14.55372181
0.42424242424242425,33,0.42424242424242425,8673.121212,12.64253354,14.73737436
0.5641025641025641,39,0.5641025641025641,12859.66667,12.95565853,14.98586017
