year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
2012,2,0.0,1546.0,0.0,0.0
2013,2,0.0,1546.0,0.0,0.0
2014,2,0.0,1546.0,0.0,0.0
2015,1,0.0,1546.0,0.0,0.0
2016,1,0.0,16530.0,12.14004175,12.85755635
