year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,3,3.0,10826.0,13.928629783333333,10.279624106666667,False,business;economyandfinance;realestate - business;education;realestate - business;realestate - business;realestate;shopping - business;realestate;travel - business;realestate;vehicles - realestate - realestate;shopping - realestate;shopping;travel - realestate;streamingmedia - realestate;streamingmedia;travel - realestate;travel - 
2000,22,2.1818181818181817,7155.727272727273,11.490039888636362,7.614824575454546,False,business;economyandfinance;realestate - business;education;realestate - business;realestate - business;realestate;shopping - business;realestate;travel - business;realestate;vehicles - realestate - realestate;shopping - realestate;shopping;travel - realestate;streamingmedia - realestate;streamingmedia;travel - realestate;travel - 
2001,33,2.0606060606060606,7947.151515151515,12.795866625151515,10.272463623333334,False,business;economyandfinance;realestate - business;education;realestate - business;realestate - business;realestate;shopping - business;realestate;travel - business;realestate;vehicles - realestate - realestate;shopping - realestate;shopping;travel - realestate;streamingmedia - realestate;streamingmedia;travel - realestate;travel - 
2002,47,1.2765957446808511,5800.276595744681,12.664934212765958,5.798623898510638,False,business;economyandfinance;realestate - business;education;realestate - business;realestate - business;realestate;shopping - business;realestate;travel - business;realestate;vehicles - realestate - realestate;shopping - realestate;shopping;travel - realestate;streamingmedia - realestate;streamingmedia;travel - realestate;travel - 
2003,53,1.0943396226415094,4825.490566037736,12.598434739433962,5.471574283207547,False,business;economyandfinance;realestate - business;education;realestate - business;realestate - business;realestate;shopping - business;realestate;travel - business;realestate;vehicles - realestate - realestate;shopping - realestate;shopping;travel - realestate;streamingmedia - realestate;streamingmedia;travel - realestate;travel - 
2004,87,1.4367816091954022,6287.793103448276,12.42840371816092,8.01418936862069,False,business;economyandfinance;realestate - business;education;realestate - business;realestate - business;realestate;shopping - business;realestate;travel - business;realestate;vehicles - realestate - realestate;shopping - realestate;shopping;travel - realestate;streamingmedia - realestate;streamingmedia;travel - realestate;travel - 
2005,118,1.2033898305084745,6963.4915254237285,12.706789202288135,10.069506500677967,False,business;economyandfinance;realestate - business;education;realestate - business;realestate - business;realestate;shopping - business;realestate;travel - business;realestate;vehicles - realestate - realestate;shopping - realestate;shopping;travel - realestate;streamingmedia - realestate;streamingmedia;travel - realestate;travel - 
2006,167,1.5568862275449102,7677.419161676647,12.856146481497008,10.830407058502994,False,business;economyandfinance;realestate - business;education;realestate - business;realestate - business;realestate;shopping - business;realestate;travel - business;realestate;vehicles - realestate - realestate;shopping - realestate;shopping;travel - realestate;streamingmedia - realestate;streamingmedia;travel - realestate;travel - 
2007,203,1.4236453201970443,8005.472906403941,12.814442707980296,11.336783055418717,False,business;economyandfinance;realestate - business;education;realestate - business;realestate - business;realestate;shopping - business;realestate;travel - business;realestate;vehicles - realestate - realestate;shopping - realestate;shopping;travel - realestate;streamingmedia - realestate;streamingmedia;travel - realestate;travel - 
2008,227,1.696035242290749,8146.700440528634,12.826537929339207,11.439166102422908,False,business;economyandfinance;realestate - business;education;realestate - business;realestate - business;realestate;shopping - business;realestate;travel - business;realestate;vehicles - realestate - realestate;shopping - realestate;shopping;travel - realestate;streamingmedia - realestate;streamingmedia;travel - realestate;travel - 
