year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2008,1,0.0,6349.0,12.65243902,14.45898005,False,adult;mediasharing - adult;mediasharing;socialnetworking - 
2017,1,0.0,5611.0,10.99463475,13.07868587,False,adult;mediasharing - adult;mediasharing;socialnetworking - 
